Date,Name,Year,Letterboxd URI,Rating
2025-06-14,Project Power,2020,https://boxd.it/ml8S,3
2025-06-14,The Matrix,1999,https://boxd.it/2a1m,4.5
2025-06-14,Rim of the World,2019,https://boxd.it/jk4k,2.5
2025-06-14,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2025-06-14,Venom,2018,https://boxd.it/b8wA,3.5
2025-06-14,Venom: Let There Be Carnage,2021,https://boxd.it/llco,3
2025-06-14,211,2018,https://boxd.it/i4LK,2.5
2025-06-16,Red Notice,2021,https://boxd.it/ixtq,3
2025-06-16,Scream VI,2023,https://boxd.it/zdfW,3.5
2025-06-16,The Nice Guys,2016,https://boxd.it/94Hg,4.5
2025-06-17,Shaun of the Dead,2004,https://boxd.it/29J8,3.5
2025-06-19,Enemy,2013,https://boxd.it/5xtO,4
2025-06-21,Morbius,2022,https://boxd.it/j978,2
2025-06-21,Outside the Wire,2021,https://boxd.it/taq6,2
2025-06-21,Tom Clancy's Without Remorse,2021,https://boxd.it/kNyA,2.5
2025-06-21,The Equalizer 2,2018,https://boxd.it/bAEW,3.5
2025-06-24,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2025-06-24,Don't Look Up,2021,https://boxd.it/o0Hc,3
2025-06-25,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2025-06-25,The Lion King,2019,https://boxd.it/eSjI,2
2025-06-25,Aladdin,1992,https://boxd.it/29yE,4.5
2025-06-26,mid90s,2018,https://boxd.it/fxIa,3.5
2025-06-27,Signs,2002,https://boxd.it/26t2,4
2025-06-29,Batman Begins,2005,https://boxd.it/2aIg,4
2025-07-01,The Dark Knight,2008,https://boxd.it/2b0k,5
2025-07-03,Speed,1994,https://boxd.it/28qk,3.5
2025-07-05,Coherence,2013,https://boxd.it/6xza,3.5
2025-07-07,About Time,2013,https://boxd.it/43bI,3.5
2025-07-08,Secret Window,2004,https://boxd.it/28xq,3
2025-07-09,The Substance,2024,https://boxd.it/zanS,3.5
2025-07-10,F1,2025,https://boxd.it/yjVM,4.5
2025-07-11,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2025-07-11,The Flash,2023,https://boxd.it/9twC,2.5
2025-07-12,Zodiac,2007,https://boxd.it/27MO,4
2025-07-12,The Lion King,1994,https://boxd.it/201Q,5
2025-07-12,Do the Right Thing,1989,https://boxd.it/29gA,4
2025-07-13,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2025-07-14,Hush,2016,https://boxd.it/d5ys,3
2025-07-15,2048: Nowhere to Run,2017,https://boxd.it/h4uC,3.5
2025-07-15,Blade Runner,1982,https://boxd.it/2bcA,4
2025-07-16,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2025-07-17,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2025-07-18,Snatch,2000,https://boxd.it/2b7U,4.5
2025-07-18,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,3.5
2025-07-19,The Hunt,2020,https://boxd.it/iE9i,3
2025-07-20,Parasite,2019,https://boxd.it/hTha,4.5
2025-07-20,Fallen Angels,1995,https://boxd.it/1UkW,4.5
2025-07-20,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2025-07-20,3 Idiots,2009,https://boxd.it/1Dsa,5
2025-07-21,Chungking Express,1994,https://boxd.it/1UDa,4
2025-07-21,Talk to Me,2022,https://boxd.it/C6uQ,4.5
2025-07-23,Collateral,2004,https://boxd.it/28F0,4
2025-07-23,Sicario,2015,https://boxd.it/8i7u,5
2025-07-24,"Love, Death & Robots: Sucker of Souls",2019,https://boxd.it/lFOW,5
2025-07-25,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2025-07-25,Django Unchained,2012,https://boxd.it/2cCk,5
2025-07-25,The Great Wall,2016,https://boxd.it/a04c,3
2025-07-26,Stuber,2019,https://boxd.it/izHE,2.5
2025-07-26,Primal Fear,1996,https://boxd.it/28ws,4.5
2025-07-27,12 Angry Men,1957,https://boxd.it/2auI,5
2025-07-28,Requiem for a Dream,2000,https://boxd.it/29VI,4
2025-07-30,Stand by Me,1986,https://boxd.it/2aOe,4
2025-08-01,Incendies,2010,https://boxd.it/Msm,4.5
2025-08-02,She's Gotta Have It,1986,https://boxd.it/1quC,3.5
2025-08-02,V for Vendetta,2005,https://boxd.it/29Ik,4
2025-08-05,Oldboy,2003,https://boxd.it/29R2,4
2025-08-06,Return of the Jedi,1983,https://boxd.it/27Vm,4
2025-08-06,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2025-08-10,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,3
2025-08-12,Bring Her Back,2025,https://boxd.it/Hxlc,3
2025-08-13,Man of Steel,2013,https://boxd.it/FRk,3
2025-08-14,Superman,2025,https://boxd.it/E9IU,4
2025-08-16,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2025-08-19,The Hunger Games,2012,https://boxd.it/2uds,4
2025-08-20,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3.5
2025-08-22,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3.5
2025-08-25,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3
2025-08-27,Hot Fuzz,2007,https://boxd.it/2416,4.5
2025-08-30,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU,4
2025-09-02,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2025-09-03,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/2b92,3.5
2025-09-05,The Naked Gun,2025,https://boxd.it/Da9k,3.5
2025-09-06,Demon Slayer: Kimetsu no Yaiba - Entertainment District Decisive Battle Arc,2023,https://boxd.it/Vmmw,4.5
2025-09-10,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,2023,https://boxd.it/EnHw,4
2025-09-13,Weapons,2025,https://boxd.it/EMTM,4.5
2025-09-18,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,5
2025-09-25,She's All That,1999,https://boxd.it/1Wz0,2.5
2025-09-25,Weathering with You,2019,https://boxd.it/kPxE,4
2025-09-26,Aftersun,2022,https://boxd.it/Arw0,3.5
2025-09-27,The Life of Chuck,2024,https://boxd.it/vMTu,4
